1	10.0	7.5
2	10.0	7.5
3	10.0	7.5
4	10.0	7.5
5	10.0	7.5
6	10.0	7.5
7	10.0	7.5
8	10.0	7.5
9	10.0	7.5
10	10.0	7.5
11	10.0	7.5
12	10.0	7.5
13	10.0	7.5
14	10.0	7.5
15	10.0	7.5
16	10.0	7.5
17	10.0	7.5
18	10.0	7.5
19	10.0	7.5
20	10.0	7.5
21	10.0	7.5
22	10.0	7.5
23	10.0	7.5
24	10.0	7.5
25	10.0	7.5
26	10.0	7.5
27	10.0	7.5
28	10.0	7.5
29	10.0	7.5
30	10.0	7.5
31	10.0	7.5
32	10.0	7.5
33	10.0	7.5
34	10.0	7.5
35	10.0	7.5
36	10.0	7.5
37	10.0	7.5
38	10.0	7.5
39	10.0	7.5
40	10.0	7.5
41	10.0	7.5
42	10.0	7.5
43	10.0	7.5
44	10.0	7.5
45	10.0	7.5
46	10.0	7.5
47	10.0	7.5
48	10.0	7.5
49	2.0	1.5
50	2.0	1.5
51	5.0	3.75
52	8.0	6.0
53	10.0	7.5
54	12.0	9.0
55	23.0	17.25
56	2.0	1.5
57	8.0	6.0
58	11.0	8.25
59	1.2	1.5
61	10.53	6.0
60	2.0	2.0
62	10.0	5.5
63	5.0	3.0
64	2.0	2.0
65	2.0	2.0
66	10.0	5.5
